    PID TTY          TIME CMD
   2237 ?        00:00:00 at-spi-bus-laun
   2244 ?        00:00:00 krfcommd
   2255 ?        00:00:00 dbus-daemon
   2257 ?        00:00:00 docker-proxy
   2266 ?        00:00:00 xfconfd
   2272 ?        00:00:00 at-spi2-registr
   2278 ?        00:00:00 ssh-agent
   2285 ?        00:00:00 gpg-agent
   2298 ?        00:00:00 containerd-shim
   2318 ?        00:00:02 mysqld
   2394 ?        00:00:00 xfsettingsd
   2399 ?        00:00:00 upowerd
   2420 ?        00:00:00 xfce4-panel
   2433 ?        00:00:00 Thunar
   2456 ?        00:00:01 xfdesktop
   2519 ?        00:00:00 panel-1-whisker
   2524 ?        00:00:00 panel-8-systray
   2525 ?        00:00:00 panel-9-notific
   2526 ?        00:00:00 panel-10-xapp-s
   2527 ?        00:00:00 panel-11-power-
   2528 ?        00:00:01 panel-12-pulsea
   2530 ?        00:00:00 panel-14-xkb
   2551 ?        00:00:00 evolution-alarm
   2552 ?        00:00:00 blueman-applet
   2556 ?        00:00:00 xfce4-notifyd
   2578 ?        00:00:00 nm-applet
   2582 ?        00:00:00 applet.py
   2588 ?        00:00:00 metacity
   2590 ?        00:00:00 xfce4-power-man
   2592 ?        00:00:00 dconf-service
   2603 ?        00:00:01 mintUpdate
   2605 ?        00:00:00 xfce4-volumed
   2608 ?        00:00:00 agent
   2609 ?        00:00:07 mintreport-tray
   2617 ?        00:00:00 polkit-gnome-au
   2621 ?        00:00:00 light-locker
   2632 ?        00:00:00 xiccd
   2657 ?        00:00:00 colord
   2662 ?        00:00:00 gvfs-udisks2-vo
   2679 ?        00:00:00 gvfs-goa-volume
   2686 ?        00:00:00 gvfs-afc-volume
   2710 ?        00:00:00 gvfs-mtp-volume
   2727 ?        00:00:00 gvfs-gphoto2-vo
   2751 ?        00:00:00 gvfsd-trash
   2767 ?        00:00:00 gvfsd-metadata
   2788 ?        00:00:01 blueman-tray
   2790 ?        00:00:00 obexd
   2829 ?        00:00:00 evolution-sourc
   2847 ?        00:00:00 evolution-calen
   2864 ?        00:00:00 evolution-addre
   2991 ?        00:00:00 kworker/u32:0-events_unbound
   2992 ?        00:00:00 kworker/u32:2-i915
   3426 ?        00:00:00 packagekitd
   3445 ?        00:00:08 flatpak-system-
   3453 ?        00:00:02 xfce4-terminal
   3492 pts/0    00:00:00 bash
   3555 ?        00:00:00 kworker/2:2-cgroup_destroy
   3556 ?        00:00:00 kworker/3:0-events
   3559 ?        00:00:00 kworker/1:0
   3569 pts/0    00:00:00 touch
   3570 pts/0    00:00:00 ps
   3571 pts/0    00:00:00 bash
